OverallQual,GrLivArea,BedroomAbvGr,GarageArea,YearBuilt,KitchenQual,SalePrice
6,1386,3,440,1978,TA,158900
7,1501,3,440,1999,TA,179400
8,2531,4,752,1995,Gd,290000
6,864,2,300,1959,TA,127500
5,1301,2,440,1924,Fa,100000
7,1547,3,614,2009,Gd,215200
8,2365,3,856,1999,Gd,337000
8,1494,2,481,1995,Ex,270000
9,1506,2,592,2008,Ex,264132
7,1714,3,496,1988,TA,196500
6,1750,4,423,1940,TA,160000
7,1836,3,484,2004,Gd,216837
8,3279,4,841,2003,Ex,538000
5,858,2,576,1982,TA,134900
4,1220,2,396,1951,TA,102000
6,1117,3,672,1976,TA,107000
5,912,2,275,1958,TA,114500
8,1973,3,895,2006,Gd,395000
6,1204,2,412,1998,TA,162000
7,1614,3,865,2005,Gd,221500
5,894,3,440,1974,TA,142500
5,2020,4,630,1977,TA,144000
6,1004,2,504,1977,TA,135000
7,1253,3,402,1995,TA,176000
6,1603,3,484,1992,Gd,175900
7,1430,3,605,2001,Gd,187100
5,1110,1,602,1978,Gd,165500
6,1484,3,0,1914,TA,128000
6,1342,3,457,1967,TA,161500
5,1652,4,416,1915,TA,139000
7,2084,4,618,2004,Gd,233000
4,901,2,281,1954,TA,107900
6,2087,5,444,1966,Gd,187500
7,1145,2,397,2005,Gd,160200
6,1062,3,539,1976,TA,146800
7,2013,3,455,1996,TA,269790
8,1496,3,474,2007,Gd,225000
7,1895,3,409,1994,Gd,194500
6,1564,3,476,1980,TA,171000
6,1285,3,528,1977,TA,143500
5,773,2,240,1953,TA,110000
9,3140,4,820,2008,Ex,485000
5,1768,3,240,1937,Gd,175000
6,1688,4,603,1997,Gd,200000
4,1196,2,440,1916,TA,109900
7,1456,3,410,2005,Gd,189000
9,2822,4,1020,2008,Ex,582933
5,1128,2,286,1954,TA,118000
7,1428,3,554,2008,Ex,227680
5,980,3,384,1967,TA,135500
5,1576,3,528,1923,Gd,223500
5,1086,3,484,1966,TA,159950
5,2138,2,360,1898,TA,106000
6,1309,3,484,1974,Gd,181000
6,848,1,420,2004,Gd,144500
5,1044,2,504,1952,Fa,55993
6,1442,4,301,1958,TA,157900
5,1250,3,280,1918,Fa,116000
7,1661,3,598,1998,Gd,224900
5,1008,2,275,1954,TA,137000
8,1689,3,857,2002,Gd,271000
6,1052,3,440,1971,TA,155000
7,1358,2,484,2009,Gd,224000
7,1640,3,595,2003,Gd,183000
4,936,2,576,1953,TA,93000
7,1733,3,433,2003,Gd,225000
6,1489,3,240,1940,TA,139500
8,1489,3,776,2006,Gd,232600
10,2084,2,1220,2007,Ex,385000
5,784,2,0,1924,Gd,109500
7,1434,3,527,2001,Gd,189000
5,2126,3,538,1967,TA,185000
7,1223,2,480,2005,Gd,147400
6,1392,3,458,1957,TA,166000
7,1200,2,480,2005,Gd,151000
7,1829,3,613,2003,Gd,237000
6,1516,3,472,1964,TA,167000
5,1144,3,456,1961,TA,139950
4,1067,2,436,1950,Gd,128000
5,1559,2,812,1948,TA,153500
6,987,2,264,1973,TA,100000
5,1099,3,352,1995,Gd,144000
5,1200,3,240,1946,TA,130500
6,1482,4,400,1925,Fa,140000
5,1539,3,686,1904,Gd,157500
6,1165,3,490,1966,TA,174900
5,1800,6,0,1961,TA,141000
5,1416,4,720,1915,TA,153900
5,1701,3,611,1975,TA,171000
7,1775,3,425,1993,Gd,213000
5,864,3,338,1972,TA,133500
6,2358,5,360,1908,TA,240000
6,1855,3,512,1976,TA,187000
6,848,1,420,2003,Gd,131500
8,1456,2,400,2003,Gd,215000
7,1646,4,240,1941,TA,164000
6,1445,3,645,1964,TA,158000
5,1779,3,454,1955,TA,170000
5,1040,3,260,1962,TA,127000
6,1026,3,576,1978,TA,147000
6,1481,3,343,1994,TA,174000
7,1370,3,479,1976,TA,152000
6,2654,4,619,1968,Gd,250000
7,1426,3,216,1918,Gd,189950
5,1039,3,504,1965,TA,131500
6,1097,3,480,1984,TA,152000
5,1148,3,672,1959,TA,132500
7,1372,3,529,2007,Gd,250580
5,1002,3,902,1970,TA,148500
8,1646,3,870,2006,Gd,248900
4,1120,3,544,1961,Fa,129000
5,2320,2,672,1948,TA,169000
7,1949,3,574,1993,Gd,236000
5,894,2,308,1962,TA,109500
6,1682,3,523,1998,Gd,200500
5,910,3,414,1953,Gd,116000
5,1268,3,288,1949,TA,133000
5,1131,3,200,1941,TA,66500
8,2610,4,550,2007,Ex,303477
4,1040,3,648,1963,TA,132250
9,2224,4,738,2004,Ex,350000
5,1155,3,576,1961,Gd,148000
5,864,3,336,1978,TA,136500
5,1090,2,450,2005,TA,157000
7,1717,3,400,1990,Gd,187500
6,1593,3,389,1992,TA,178000
4,2230,5,440,1912,TA,118500
5,892,3,288,1967,TA,100000
9,1709,2,506,1999,Gd,328900
5,1712,4,588,1959,TA,145000
5,1393,3,300,1955,TA,135500
8,2217,4,621,1970,Gd,268000
6,1505,2,505,1953,TA,149500
5,924,3,576,1949,TA,122900
6,1683,3,440,1978,TA,172500
6,1068,3,264,1963,TA,154500
5,1383,3,354,1954,TA,165000
5,1535,4,400,1979,TA,118858
6,1796,4,483,1963,TA,140000
4,951,2,327,1936,TA,106500
5,2240,6,528,1979,TA,142953
9,2364,2,820,2009,Ex,611657
5,1236,3,288,1961,TA,135000
4,858,2,684,1971,TA,110000
5,1306,2,756,1957,TA,153000
7,1509,3,393,2003,Gd,180000
7,1670,3,690,2006,Gd,240000
5,902,3,288,1967,TA,125500
5,1063,3,280,1954,TA,128000
8,1636,3,865,2006,Gd,255000
7,2057,3,180,1936,Gd,250000
5,902,2,484,1983,TA,131000
6,1484,3,390,2005,Gd,174000
5,2274,5,480,1960,TA,154300
5,1268,3,252,1977,Gd,143500
5,1015,3,450,1925,TA,88000
5,2002,4,871,1949,TA,145000
6,1224,2,528,2009,Gd,173733
4,1092,3,286,1970,TA,75000
2,480,1,308,1949,TA,35311
4,1229,3,284,1956,TA,135000
7,2127,4,833,1991,Gd,238000
6,1414,3,601,1958,TA,176500
6,1721,3,471,1994,Gd,201000
5,2200,4,0,1900,TA,145900
6,1316,3,397,2005,Gd,169990
6,1617,2,533,1993,Gd,193000
6,1686,3,612,1980,TA,207500
5,1126,3,540,1977,Ex,175000
8,2374,4,656,2003,Ex,285000
7,1978,4,486,1968,TA,176000
8,1788,3,522,2001,Ex,236500
7,2236,4,642,1997,Gd,222000
8,1466,3,610,2007,Gd,201000
5,925,2,429,1965,TA,117500
9,1905,3,788,2006,Ex,320000
7,1500,3,570,2004,Gd,190000
7,2069,4,505,1960,Gd,242000
4,747,1,528,1926,TA,79900
7,1200,2,555,2003,Gd,184900
7,1971,3,689,2005,Gd,253000
7,1962,3,868,2006,Gd,239799
7,2403,4,349,1940,TA,244400
6,1728,4,574,1976,TA,150900
7,2060,3,390,1999,Gd,214000
4,1440,4,0,1977,TA,150000
5,1632,4,576,1967,TA,143000
6,1344,3,525,1958,Gd,137500
5,1869,2,456,1890,TA,124900
5,1144,3,796,1959,TA,143000
8,1629,3,808,2002,Gd,270000
7,1776,3,474,2002,Gd,192500
6,1381,3,676,1972,Gd,197500
5,864,3,720,1950,Gd,129000
5,965,3,300,1965,TA,119900
5,768,2,396,1972,TA,133900
5,1968,4,530,1969,TA,172000
6,980,4,0,1975,TA,127500
6,1958,4,492,1946,TA,145000
6,1229,2,462,1980,TA,124000
5,1057,3,576,1962,TA,132000
7,1337,3,531,2003,Gd,185000
7,1416,3,484,1999,Gd,155000
5,858,2,0,1958,TA,116500
6,2872,4,619,1977,TA,272000
6,1548,3,440,1976,Gd,155000
9,1800,2,702,2007,Ex,239000
7,1894,4,510,2002,Gd,214900
6,1484,3,393,2005,Gd,178900
5,1308,2,256,1940,TA,160000
5,1098,3,260,1955,TA,135000
3,968,2,0,1910,TA,37900
6,1095,2,264,1958,TA,140000
4,1192,4,0,1949,TA,135000
7,1626,2,474,2003,Gd,173000
6,918,2,264,1979,TA,99500
7,1428,3,480,2007,Gd,182000
7,2019,3,532,1910,Gd,167500
7,1382,3,490,2000,Gd,165000
4,869,2,0,1923,Fa,85500
7,1241,1,569,2006,Gd,199900
4,894,3,400,1954,TA,110000
5,1121,3,480,1963,TA,139000
7,999,3,588,1961,Ex,178400
8,2612,4,676,1998,Gd,336000
7,1266,2,388,2007,Gd,159895
8,2290,4,779,2002,Gd,255900
5,1734,4,539,1977,Gd,126000
5,1164,3,240,1950,TA,125000
6,1635,2,255,1910,Gd,117000
9,1940,3,606,2009,Ex,395192
6,2030,4,551,1976,Gd,195000
7,1576,3,614,2006,Gd,197000
8,2392,3,870,1997,Gd,348000
8,1742,4,424,1882,Gd,168000
6,1851,3,440,1964,Gd,187000
6,1500,3,564,2005,Gd,173900
10,1718,3,786,2006,Ex,337500
4,1230,3,305,1946,TA,121600
5,1050,3,368,1961,TA,136500
6,1442,2,615,1970,TA,185000
3,1077,3,210,1922,TA,91000
7,1208,2,632,2006,Gd,206000
3,944,2,528,1952,Fa,82000
5,691,2,216,1920,Ex,86000
8,1574,3,824,2006,Gd,232000
5,1680,4,528,1976,TA,136905
7,1504,1,457,2005,Gd,181000
5,985,3,328,1977,TA,149900
6,1657,3,484,1970,TA,163500
4,1092,3,286,1970,TA,88000
7,1710,3,550,2004,Gd,240000
5,1522,4,0,1926,TA,102000
5,1271,4,312,1948,TA,135000
5,1664,4,0,1965,TA,100000
6,1502,3,180,1923,Gd,165000
5,1022,2,280,1910,TA,85000
6,1082,2,240,1948,TA,119200
8,1665,3,528,2001,Gd,227000
7,1504,3,478,1996,Gd,203000
8,1360,1,565,1984,Gd,187500
7,1472,3,402,1991,Gd,160000
7,1506,2,440,2005,Gd,213490
4,1132,2,451,2005,Gd,176000
7,1220,2,632,2006,Gd,194000
5,1248,2,160,1930,TA,87000
7,1504,2,437,2005,Gd,191000
8,2898,2,665,1976,Gd,287000
5,882,3,461,1972,TA,112500
5,1264,3,461,1960,TA,167500
8,1646,3,800,2007,Gd,293077
5,1376,3,240,1941,TA,105000
6,1218,3,264,1972,TA,118000
5,1928,5,0,1916,TA,160000
7,3082,5,672,1920,TA,197000
8,2520,5,796,1993,Gd,310000
7,1654,3,900,2002,Gd,230000
5,954,2,240,1938,Fa,119750
4,845,3,290,1957,TA,84000
9,1620,2,912,2007,Ex,315500
8,2263,3,905,2001,Gd,287000
4,1344,3,0,1970,TA,97000
4,630,1,286,1970,TA,80000
5,1803,3,484,1957,TA,155000
6,1632,4,484,1966,Gd,173000
6,1306,1,624,2005,Gd,196000
7,2329,4,514,1990,Gd,262280
8,2524,4,542,1981,Gd,278000
3,1733,4,452,1955,TA,139600
9,2868,4,716,2005,Ex,556581
5,990,3,672,1994,TA,145000
5,1771,3,336,1960,TA,115000
4,930,2,308,1946,Gd,84900
7,1302,3,436,2007,Gd,176485
7,1316,3,440,2007,Gd,200141
6,1977,4,540,1964,TA,165000
5,1526,4,364,1957,TA,144500
8,1989,3,586,2002,Gd,255000
6,1523,3,478,1976,TA,180000
7,1364,2,484,2005,Gd,185850
7,1850,3,467,1994,Gd,248000
9,2184,3,836,2008,Ex,335000
6,1991,3,432,1932,TA,220000
8,1338,2,582,2001,Gd,213500
3,894,2,1248,1935,TA,81000
5,2337,5,560,1900,TA,90000
6,1103,2,440,1925,Gd,110500
5,1154,3,480,1966,TA,154000
7,2260,3,533,1996,Gd,328000
6,1571,3,380,1993,TA,178000
6,1611,4,442,1964,TA,167900
6,2521,5,576,1973,TA,151400
5,893,2,576,1949,Gd,135000
5,1048,3,286,1956,TA,135000
6,1556,4,441,1968,TA,154000
5,1456,4,280,1948,TA,91500
6,1426,3,440,1977,TA,159500
7,1240,2,826,2006,Gd,194000
7,1740,3,240,1940,TA,219500
5,1466,3,566,1936,Gd,170000
5,1096,3,299,1969,TA,138800
6,848,1,420,2004,Gd,155900
5,990,3,299,1994,TA,126000
6,1258,3,528,1971,Gd,145000
5,1040,3,308,1963,TA,133000
7,1459,3,527,2002,Gd,192000
6,1251,3,461,1964,TA,160000
6,1498,3,409,1995,TA,187500
6,996,2,564,1992,Gd,147000
4,1092,3,286,1973,TA,83500
8,1953,3,1043,2005,Gd,252000
7,1709,3,380,2004,Gd,137500
8,1247,1,550,2005,Gd,197000
3,1040,2,400,1950,TA,92900
7,1252,2,462,1999,Gd,160000
6,1694,4,576,1925,TA,136500
5,1200,1,884,1965,Gd,146000
5,936,2,308,1956,TA,129000
6,1314,3,440,2006,Gd,176432
6,1355,3,0,1914,Gd,127000
8,1088,2,461,1986,Gd,170000
4,1324,3,240,1936,TA,128000
7,1601,3,478,1978,TA,157000
2,438,1,246,1920,Fa,60000
5,950,3,280,1971,TA,119500
5,1134,2,254,1960,TA,135000
6,1194,3,539,1959,TA,159500
5,1302,3,440,1970,TA,106000
8,2622,3,712,1994,Gd,325000
7,1442,3,719,1990,Gd,179900
7,2021,3,422,2006,Gd,274725
6,1690,3,463,2000,TA,181000
8,1836,3,862,2004,Gd,280000
6,1658,3,431,1995,TA,188000
7,1964,4,483,1976,TA,205000
5,816,2,308,1957,TA,129900
5,1008,2,240,1953,Gd,134500
5,833,2,326,1954,Gd,117000
8,1734,3,928,2007,Ex,318000
8,1419,3,527,2002,Gd,184100
5,894,3,450,1967,Gd,130000
5,1601,3,300,1958,TA,140000
5,1040,3,286,1959,TA,133700
6,1012,2,308,1920,TA,118400
7,1552,3,782,2005,Gd,212900
4,960,3,288,1956,TA,112000
5,698,2,0,1947,TA,118000
7,1482,3,392,1992,Gd,163900
4,1005,2,672,1955,Fa,115000
7,1555,2,660,2007,Gd,174000
7,1530,3,630,2004,Gd,259000
7,1959,4,434,2004,Gd,215000
5,936,2,672,1980,TA,140000
4,1981,4,576,1928,Gd,135000
5,974,3,0,1991,TA,93500
6,2210,5,205,1880,Fa,117500
8,2020,3,466,1995,Gd,239500
6,1600,3,460,1997,TA,169000
6,986,2,180,1926,TA,102000
6,1252,3,288,1950,TA,119000
5,1020,2,0,1875,TA,94000
6,1567,2,714,1977,Gd,196000
5,1167,3,495,1920,TA,144000
5,952,2,840,1951,TA,139000
5,1868,4,484,1976,Gd,197500
8,2828,4,1052,2006,Gd,424870
5,1006,3,0,1959,TA,80000
4,924,2,280,1941,Fa,80000
5,1576,3,225,1928,TA,149000
6,1298,3,403,1985,Gd,180000
7,1564,3,234,1941,Fa,174500
7,1111,2,288,1926,TA,116900
7,1482,3,324,1920,TA,143000
6,932,2,306,1950,Gd,124000
5,1466,3,528,1959,Fa,149900
6,1811,2,470,1956,Ex,230000
6,816,2,432,1930,TA,120500
7,1820,4,492,1965,Gd,201800
5,1437,3,528,1976,Gd,218000
5,1265,3,502,1965,Gd,179900
7,1314,2,626,2007,Gd,230000
8,1580,3,830,2007,Gd,235128
6,1876,4,540,1974,Gd,185000
6,1456,3,440,1978,TA,146000
6,1640,3,924,1954,Gd,224000
5,894,3,450,1968,TA,129000
4,1258,0,400,1969,TA,108959
5,1432,2,588,1978,Gd,194000
7,1502,3,644,2009,Gd,233170
8,1694,3,776,2008,Gd,245350
6,1671,3,472,2000,TA,173000
6,2108,4,540,1935,Gd,235000
10,3627,4,807,1995,Gd,625000
6,1118,3,358,1977,TA,171000
6,1261,3,433,1958,TA,163000
7,1250,2,625,2006,Gd,171900
5,3086,3,0,1946,Ex,200500
6,2345,4,360,1932,TA,239000
8,2872,4,541,1992,Gd,285000
5,923,3,264,1984,TA,119500
6,1224,3,210,1926,TA,115000
5,1343,3,186,1921,TA,154900
5,1124,3,0,1954,TA,93000
7,2514,4,693,1990,TA,250000
8,1652,2,482,2008,Gd,392500
10,4476,4,813,1996,Ex,745000
5,1130,2,720,1920,TA,120000
5,1572,3,995,1963,TA,186700
5,1221,4,392,1924,TA,104900
3,1699,3,420,1900,TA,95000
8,1624,2,757,1994,Gd,262000
7,1660,3,493,2002,Gd,195000
7,1804,3,442,1999,Gd,189000
4,1622,3,1356,1961,TA,168000
8,1441,2,492,1999,Gd,174000
5,1472,3,250,1925,Gd,125000
6,1224,2,402,1999,TA,165000
6,1352,4,299,1969,TA,158000
6,1456,3,400,2005,Gd,176000
7,1863,4,660,2006,Gd,219210
7,1690,3,225,1916,TA,144000
7,1212,3,573,2001,Gd,178000
4,1382,3,459,1963,TA,148000
4,864,3,280,1970,TA,116050
7,1779,3,546,1998,Gd,197900
5,1348,3,216,1925,TA,117000
7,1630,3,451,2000,Gd,213000
5,1074,3,495,1975,TA,153500
7,2196,3,701,1990,Gd,271900
4,1056,2,384,1966,TA,107000
6,1700,3,544,2003,Gd,200000
5,1283,3,506,1962,TA,140000
8,1660,3,500,2006,Gd,290000
6,1845,3,462,1992,Gd,189000
8,1752,4,492,1988,TA,164000
4,672,2,234,1941,TA,113000
4,960,0,364,1965,TA,145000
5,999,3,300,1962,TA,134500
5,894,3,384,1966,TA,125000
6,1902,4,539,1978,TA,112000
8,1314,3,552,2009,Gd,229456
4,912,2,0,1947,TA,80500
6,1218,3,0,1971,TA,91500
5,912,2,288,1964,TA,115000
5,1211,3,322,1968,TA,134000
6,1846,3,315,1949,TA,143000
5,2136,4,528,1951,TA,137900
7,1490,3,388,2004,Gd,184000
6,1138,3,264,1958,TA,145000
6,1933,4,668,2007,Gd,214000
5,912,2,576,1965,Gd,147000
9,1702,1,1052,2008,Ex,367294
5,1507,4,404,1960,TA,127000
5,2620,4,600,1977,TA,190000
5,1190,3,540,1962,TA,132500
4,1224,2,462,1962,TA,101800
5,1188,3,531,1959,TA,142000
5,1964,4,0,1911,TA,130000
5,1784,4,180,1914,TA,138887
7,1626,2,474,2003,Gd,175500
7,1948,4,434,2004,Gd,195000
6,1141,3,484,2005,TA,142500
8,1484,2,472,2006,Ex,265900
7,1768,3,543,2003,Gd,224900
7,1689,3,954,2007,Gd,248328
7,1173,3,528,1974,Gd,170000
10,2076,2,850,2006,Ex,465000
8,1517,3,400,1929,Gd,230000
6,1868,3,477,1984,TA,178000
7,1553,3,615,2005,Gd,186500
6,1034,3,888,1976,TA,169900
6,2058,3,396,1917,TA,129500
5,988,3,276,1950,TA,119000
7,2110,3,522,1968,Ex,244000
7,1405,2,478,2003,Gd,171750
5,874,3,288,1968,TA,130000
7,2167,3,518,1974,Gd,294000
7,1656,3,397,2003,Gd,165400
6,1367,3,560,1931,TA,127500
8,1987,2,691,1994,Gd,301500
5,864,2,0,1922,TA,99900
7,1166,2,400,2005,Gd,190000
6,1054,3,460,1969,TA,151000
6,1675,3,502,1999,TA,181000
5,1050,2,338,1956,TA,128900
4,1788,5,304,1957,TA,161500
6,1824,3,520,1919,TA,180500
6,1337,2,511,1998,Gd,181000
7,1452,3,506,1999,Gd,183900
7,1889,4,308,1910,TA,122000
9,2018,3,746,2008,Ex,378500
8,3447,4,1014,1935,Gd,381000
5,1524,3,315,1958,TA,144000
7,1524,0,586,1979,Gd,260000
6,1489,3,462,1968,Gd,185750
5,935,3,288,1965,TA,137000
6,1357,2,312,1959,Ex,177000
5,1250,3,552,1910,TA,139000
5,1920,4,400,1948,TA,137000
6,1395,3,497,1972,TA,162000
6,1724,3,480,1967,TA,197900
8,2031,3,577,2002,Gd,237000
4,1128,2,528,1920,TA,68400
7,1573,3,544,2002,Gd,227000
7,1339,2,484,1990,TA,180000
5,1040,3,484,1977,Gd,150500
6,1824,4,0,1971,TA,139000
6,2447,4,336,1919,Gd,169000
6,1412,4,280,1939,TA,132500
6,1328,3,528,1963,TA,143000
5,1582,4,390,1964,TA,190000
8,1659,2,499,2000,Ex,278000
8,1970,3,753,2006,Ex,281000
5,1152,3,484,1964,TA,180500
5,1302,3,264,1972,TA,119500
5,2372,4,432,1892,TA,107500
7,1664,4,528,1976,TA,162900
5,864,2,572,1955,TA,115000
5,1052,3,288,1968,TA,138500
5,1128,3,525,1963,TA,155000
6,1072,2,525,2005,TA,140000
10,5642,3,1418,2008,Ex,160000
5,1246,3,305,1959,Gd,154000
7,1983,3,490,1999,Gd,225000
6,1494,3,213,1942,Gd,177500
8,2526,4,844,1994,Gd,290000
7,1616,3,834,2005,Gd,232000
7,1708,3,380,2004,Gd,130000
9,1652,2,840,2006,Ex,325000
7,1368,2,474,2005,Gd,202500
5,990,3,480,1994,TA,138000
5,1122,2,528,1948,Gd,147000
6,1294,3,496,1991,Gd,179200
7,1902,3,567,1959,Ex,335000
7,1274,3,508,2005,Gd,203000
8,2810,4,750,1990,Gd,302000
9,2599,4,779,1999,Gd,333168
4,948,3,280,1954,TA,119000
6,2112,4,576,1969,TA,206900
8,1630,3,860,2008,Ex,295493
7,1352,2,466,2006,Gd,208900
8,1787,3,748,2001,Gd,275000
4,948,3,248,1954,TA,111000
6,1478,3,442,1957,TA,156500
3,720,2,287,1949,TA,72500
7,1923,3,564,1992,Gd,190000
4,708,2,0,1940,Fa,82500
8,1795,2,895,2006,Gd,147000
4,796,2,0,1922,TA,55000
3,774,3,0,1931,Gd,79000
5,816,3,264,1982,Gd,130500
6,2792,5,520,1920,TA,256000
7,1632,3,462,1998,TA,176500
8,1588,3,825,2006,Gd,227000
5,954,3,576,1976,TA,132500
4,816,2,288,1938,TA,100000
5,1360,2,297,1938,Gd,125500
5,1365,3,440,1970,TA,125000
6,1334,2,630,1977,TA,167900
5,1656,4,506,1973,TA,135000
4,693,2,0,1941,Fa,52500
7,1861,3,492,2002,Gd,200000
5,864,3,288,1972,TA,128500
4,872,3,480,1971,TA,123000
6,1114,3,576,2003,Gd,155000
8,2169,3,647,2002,Gd,228500
6,1913,3,342,1928,TA,177000
7,1456,3,440,2006,Gd,155835
4,960,2,308,1920,Fa,108500
7,2156,3,508,1968,TA,262500
8,1776,3,712,2006,Gd,283463
7,1494,3,514,1998,Gd,215000
8,2358,4,0,1872,TA,122000
5,2634,6,968,1969,TA,200000
6,1716,4,490,1962,TA,171000
6,1176,2,624,1937,TA,134900
8,3238,4,666,1995,Gd,410000
7,1865,3,839,2000,Gd,235000
7,1920,4,487,1968,Gd,170000
5,892,3,264,1966,TA,110000
5,1078,3,500,1971,TA,149900
6,1573,3,440,2000,Gd,177500
9,1980,3,770,2004,Ex,315000
5,2601,4,621,1921,TA,189000
7,1530,3,430,2005,Gd,260000
4,1738,4,368,1920,TA,104900
6,1412,3,432,2006,Gd,156932
7,1200,2,480,2005,Gd,144152
7,1674,3,663,2000,Gd,216000
7,1790,3,588,1999,Gd,193000
5,1475,4,336,1977,TA,127000
6,848,1,420,2003,Gd,144000
8,1668,3,502,2003,Gd,232000
4,1374,2,338,1920,TA,105000
6,1661,3,377,1955,Gd,165500
7,2097,3,583,1998,Gd,274300
10,2633,2,804,2001,Ex,466500
7,1958,3,936,2005,Gd,250000
8,1571,3,722,2007,Gd,239000
6,790,2,160,1930,TA,91000
5,1604,3,660,1941,TA,117000
6,987,2,264,1973,TA,83000
5,1394,3,400,2006,Gd,167500
3,864,2,200,1914,TA,58500
6,2117,4,550,1970,TA,237500
7,1762,4,576,1920,Gd,157000
5,1416,3,576,1918,Gd,112000
6,1258,2,280,1939,TA,105000
4,1154,3,240,1922,Gd,125500
7,2784,5,564,1978,Gd,250000
6,2526,5,216,1916,Gd,136000
9,1746,3,758,2006,Ex,377500
6,1218,3,440,1941,TA,131000
7,1525,3,541,2000,Gd,235000
5,1584,4,792,1967,TA,124000
5,900,3,288,1967,TA,123000
6,1912,3,672,1905,TA,163000
7,1500,2,648,2006,Gd,246578
8,2482,4,642,2005,Gd,281213
5,1687,3,572,1948,TA,160000
5,1513,4,180,1920,TA,137500
5,1904,3,240,1950,TA,138000
6,1608,3,216,1925,Gd,137450
6,1158,3,208,1929,TA,120000
6,1593,3,398,2004,TA,193000
7,1294,2,662,2006,Gd,193879
8,1464,3,754,2007,Gd,282922
3,1214,3,936,1915,TA,105000
8,1646,2,482,2004,Gd,275000
5,768,2,396,1972,TA,133000
5,833,3,0,1985,TA,112000
4,1363,3,528,1910,TA,125500
7,2093,3,542,1986,TA,215000
7,1840,3,622,2001,Gd,230000
6,1668,3,271,1950,TA,140000
4,1040,2,420,1949,TA,90000
8,1844,2,620,2005,Gd,257000
6,1848,4,370,1923,Gd,207000
7,1569,1,660,2007,Gd,175900
4,2290,4,560,1885,TA,122500
8,2450,3,1069,1998,Gd,340000
5,1144,3,336,1963,TA,124000
6,1844,3,540,1969,Gd,223000
6,1416,3,776,1968,TA,179900
6,1069,2,440,1977,TA,127500
6,848,1,420,2003,Gd,136500
6,2201,4,432,1966,Gd,274970
5,1344,2,484,1958,TA,144000
6,1252,3,528,1959,Gd,142000
7,2127,3,525,1994,Gd,271000
5,1558,3,288,1945,TA,140000
5,804,2,240,1940,Gd,119000
6,1440,3,467,1981,Gd,182900
5,1838,4,372,2005,TA,192140
6,958,2,440,1976,TA,143750
4,968,4,216,1927,TA,64500
6,1792,3,451,2000,TA,186500
5,1126,3,484,1977,TA,160000
6,1537,3,462,1962,Gd,174000
4,864,3,528,1971,TA,120500
8,1932,2,774,2008,Ex,394617
6,1236,2,923,1957,TA,149700
7,1725,3,550,1979,TA,197000
6,2555,3,672,1922,TA,191000
6,848,1,420,2004,Gd,149300
10,2007,3,812,2008,Ex,310000
6,952,2,192,1916,Fa,121000
7,1422,3,626,2004,Gd,179600
6,913,3,240,1966,TA,129000
5,1188,3,312,1962,TA,157900
8,2090,3,556,1995,Gd,240000
4,1346,2,384,1910,TA,112000
5,630,1,0,1970,Ex,92000
5,1792,4,0,1974,TA,136000
8,1578,3,840,2008,Ex,287090
5,1072,2,525,2005,TA,145000
5,1140,3,0,2006,TA,84500
7,1221,2,400,2004,Gd,185000
6,1647,3,460,1999,TA,175000
6,2073,3,500,1978,TA,210000
7,2340,4,252,1941,Gd,266500
5,1078,2,240,1950,Gd,142125
5,1256,3,276,1965,TA,147500
